op,ogl,aa,filled,time
R5Circle,software,antialiased,open,2.07374
R30Circle,software,antialiased,open,6.08837
R35Circle,software,antialiased,open,8.80971
R5Circle,software,antialiased,open,2.02842
R30Circle,software,antialiased,open,7.79857
R35Circle,software,antialiased,open,7.47353
R5Circle,software,aliased,open,0.09207
R30Circle,software,aliased,open,0.18488
R35Circle,software,aliased,open,0.214056
R5Circle,software,aliased,open,0.071558
R30Circle,software,aliased,open,0.185029
R35Circle,software,aliased,open,0.213955
Glyph,opengl,antialiased,filled,0.00279
Glyph,opengl,antialiased,filled,0.032206
Glyph,opengl,antialiased,filled,0.001316
Glyph,opengl,aliased,filled,0.002834
Glyph,opengl,aliased,filled,0.002311
Glyph,opengl,aliased,filled,0.001377
Glyph,opengl,aliased,filled,0.001131
Glyph,software,antialiased,filled,0.050438
Glyph,software,antialiased,filled,0.031695
Glyph,software,aliased,filled,0.048335
Glyph,software,aliased,filled,0.02598
Glyph,opengl,antialiased,open,0.001848
Glyph,opengl,antialiased,open,0.037503
Glyph,opengl,antialiased,open,0.001153
Glyph,opengl,aliased,open,0.001861
Glyph,opengl,aliased,open,0.001291
Glyph,opengl,aliased,open,0.001179
Glyph,opengl,aliased,open,0.001238
Glyph,software,antialiased,open,0.042437
Glyph,software,antialiased,open,0.026866
Glyph,software,aliased,open,0.044548
Glyph,software,aliased,open,0.026081
Polygon,opengl,antialiased,filled,0.871039
Polygon,opengl,antialiased,filled,0.863209
Polygon,opengl,antialiased,filled,0.88356
Polygon,opengl,aliased,filled,0.800174
Polygon,opengl,aliased,filled,0.814674
Polygon,opengl,aliased,filled,0.79834
Polygon,opengl,aliased,filled,0.812247
Polygon,software,antialiased,filled,2.48944
Polygon,software,antialiased,filled,2.47285
Polygon,software,aliased,filled,0.350468
Polygon,software,aliased,filled,0.336892
Polygon,opengl,antialiased,open,0.489221
Polygon,opengl,antialiased,open,0.496626
Polygon,opengl,antialiased,open,0.522319
Polygon,opengl,antialiased,open,0.503933
Polygon,opengl,aliased,open,0.492861
Polygon,opengl,aliased,open,0.482867
Polygon,opengl,aliased,open,0.486591
Polygon,opengl,aliased,open,0.490748
Polygon,software,antialiased,open,1.79434
Polygon,software,antialiased,open,1.79733
Polygon,software,aliased,open,0.1084
Polygon,software,aliased,open,0.081359
Rectangle,opengl,antialiased,filled,0.003089
Rectangle,opengl,antialiased,filled,0.004138
Rectangle,opengl,antialiased,filled,0.002624
Rectangle,opengl,antialiased,filled,0.002741
Rectangle,opengl,aliased,filled,0.002873
Rectangle,opengl,aliased,filled,0.095686
Rectangle,opengl,aliased,filled,0.00248
Rectangle,software,antialiased,filled,2.29343
Rectangle,software,antialiased,filled,2.28351
Rectangle,software,aliased,filled,0.357226
Rectangle,software,aliased,filled,0.335147
Rectangle,opengl,antialiased,open,0.506188
Rectangle,opengl,antialiased,open,0.518735
Rectangle,opengl,antialiased,open,0.925875
Rectangle,opengl,aliased,open,0.50819
Rectangle,opengl,aliased,open,0.469007
Rectangle,opengl,aliased,open,0.472287
Rectangle,opengl,aliased,open,0.4631
Rectangle,software,antialiased,open,1.55737
Rectangle,software,antialiased,open,1.54971
Rectangle,software,aliased,open,0.083553
Rectangle,software,aliased,open,0.067984
Point,opengl,antialiased,open,0.001464
Point,opengl,antialiased,open,0.013342
Point,opengl,antialiased,open,0.001355
Point,opengl,aliased,open,0.002682
Point,opengl,aliased,open,0.001323
Point,opengl,aliased,open,0.001029
Point,opengl,aliased,open,0.000979
Point,software,antialiased,open,0.828572
Point,software,antialiased,open,0.819823
Point,software,aliased,open,0.003433
Point,software,aliased,open,0.003296
Line,opengl,antialiased,open,0.505971
Line,opengl,antialiased,open,0.146046
Line,opengl,antialiased,open,0.146529
Line,opengl,antialiased,open,0.153693
Line,opengl,aliased,open,0.216078
Line,opengl,aliased,open,0.181969
Line,opengl,aliased,open,0.151824
Line,software,antialiased,open,0.645477
Line,software,antialiased,open,0.634473
Line,software,aliased,open,0.05941
Line,software,aliased,open,0.044694
Segment,opengl,antialiased,open,0.063964
Segment,opengl,antialiased,open,0.792237
Segment,opengl,antialiased,open,0.058609
Segment,opengl,aliased,open,0.092036
Segment,opengl,aliased,open,0.657718
Segment,opengl,aliased,open,0.059963
Segment,opengl,aliased,open,0.058596
Segment,software,antialiased,open,18.8897
Segment,software,antialiased,open,18.9607
Segment,software,aliased,open,0.04917
Segment,software,aliased,open,0.061222
R5Circle,opengl,antialiased,filled,0.549294
R30Circle,opengl,antialiased,filled,0.506908
R35Circle,opengl,antialiased,filled,0.646439
R5Circle,opengl,antialiased,filled,0.503651
R30Circle,opengl,antialiased,filled,0.50763
R35Circle,opengl,antialiased,filled,0.644522
R5Circle,opengl,antialiased,filled,0.503417
R30Circle,opengl,antialiased,filled,0.511998
R35Circle,opengl,antialiased,filled,0.646591
R5Circle,opengl,antialiased,filled,0.506481
R30Circle,opengl,antialiased,filled,0.502204
R35Circle,opengl,antialiased,filled,0.651798
R5Circle,opengl,aliased,filled,0.493075
R30Circle,opengl,aliased,filled,0.497769
R35Circle,opengl,aliased,filled,0.643688
R5Circle,opengl,aliased,filled,0.520384
R30Circle,opengl,aliased,filled,0.492683
R35Circle,opengl,aliased,filled,0.642593
R5Circle,opengl,aliased,filled,0.499312
R30Circle,opengl,aliased,filled,0.492167
R35Circle,opengl,aliased,filled,0.638513
R5Circle,software,antialiased,filled,3.12369
R30Circle,software,antialiased,filled,4.99233
R35Circle,software,antialiased,filled,5.22398
R5Circle,software,antialiased,filled,3.12306
R30Circle,software,antialiased,filled,4.98143
R35Circle,software,antialiased,filled,5.21743
R5Circle,software,aliased,filled,0.082575
R30Circle,software,aliased,filled,0.225698
R35Circle,software,aliased,filled,0.253717
R5Circle,software,aliased,filled,0.077663
R30Circle,software,aliased,filled,0.219453
R35Circle,software,aliased,filled,0.251339
R5Circle,opengl,antialiased,open,0.55949
R30Circle,opengl,antialiased,open,0.657584
R35Circle,opengl,antialiased,open,0.67671
R5Circle,opengl,antialiased,open,0.586764
R30Circle,opengl,antialiased,open,0.657292
R35Circle,opengl,antialiased,open,0.684081
R5Circle,opengl,antialiased,open,0.563036
R30Circle,opengl,antialiased,open,0.658196
R35Circle,opengl,antialiased,open,0.676981
R5Circle,opengl,aliased,open,0.558601
R30Circle,opengl,aliased,open,0.649944
R35Circle,opengl,aliased,open,0.676403
R5Circle,opengl,aliased,open,0.581673
R30Circle,opengl,aliased,open,0.658911
R35Circle,opengl,aliased,open,0.674843
R5Circle,opengl,aliased,open,0.556325
R30Circle,opengl,aliased,open,0.652778
R35Circle,opengl,aliased,open,0.6856
R5Circle,software,antialiased,open,2.1429
R30Circle,software,antialiased,open,3.44238
R35Circle,software,antialiased,open,3.51089
R5Circle,software,antialiased,open,2.16521
R30Circle,software,antialiased,open,3.46483
R35Circle,software,antialiased,open,3.51612
R5Circle,software,aliased,open,0.052837
R30Circle,software,aliased,open,0.158578
R35Circle,software,aliased,open,0.165694
R5Circle,software,aliased,open,0.053057
R30Circle,software,aliased,open,0.14746
R35Circle,software,aliased,open,0.167209
